"peak_number","unique_id","compounds_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","day","month","mass_list_name","mass_list_match"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b10_a",8536948.34377582,6.7,"a","b10","29","2022-09","kps_psychoactive_substances_v2","Multiple matches found"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b10_b",5366409.28885115,9.5,"b","b10","29","2022-09","kps_psychoactive_substances_v2","Multiple matches found"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b118_a",5980881.50763985,8.4,"a","b118","29","2023-06","kps_psychoactive_substances_v2","Multiple matches found"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b118_b",3596204.68273315,8.9,"b","b118","29","2023-06","kps_psychoactive_substances_v2","Multiple matches found"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b130_a",3286571.99329069,5.1,"a","b130","29","2023-07","kps_psychoactive_substances_v2","Multiple matches found"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b130_b",2222017.44843695,7.8,"b","b130","29","2023-07","kps_psychoactive_substances_v2","Multiple matches found"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b28_a",1730155.41766158,6.7,"a","b28","1","2022-11","kps_psychoactive_substances_v2","Multiple matches found"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b28_b",1465620.00296646,5.3,"b","b28","1","2022-11","kps_psychoactive_substances_v2","Multiple matches found"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b4_a",3694757.65628413,7.8,"a","b4","1","2022-09","kps_psychoactive_substances_v2","Multiple matches found"
8889,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.397",6226,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",0.04,332.23516,333.24239,20.397,8536948.34377582,4,89.2,74.3,"PreferredDDA","[M+H]+1","b4_b",2510594.15445623,5.7,"b","b4","1","2022-09","kps_psychoactive_substances_v2","Multiple matches found"
8873,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_19.273",21226,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Full match","Invalid mass","Full match",0.75,304.24046,305.2477,19.273,921932.876779762,6,94.1,9.7,"PreferredDDA","[M+H]+1","b130_a",867005.224357791,7,"a","b130","29","2023-07","kps_psychoactive_substances_v2","Multiple matches found"
8873,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_19.273",21226,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Full match","Invalid mass","Full match",0.75,304.24046,305.2477,19.273,921932.876779762,6,94.1,9.7,"PreferredDDA","[M+H]+1","b130_b",672686.144440426,8.6,"b","b130","29","2023-07","kps_psychoactive_substances_v2","Multiple matches found"
8870,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_21.664",14805,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Not the top hit","Invalid mass","Full match",0.47,304.24037,305.24769,21.664,3124923.49327536,6,91.1,77.2,"PreferredDDA","[M+H]+1","b82_a",3124923.49327536,5.7,"a","b82","29","2023-03","kps_psychoactive_substances_v2","Multiple matches found"
8870,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_21.664",14805,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Not the top hit","Invalid mass","Full match",0.47,304.24037,305.24769,21.664,3124923.49327536,6,91.1,77.2,"PreferredDDA","[M+H]+1","b82_b",1666756.2785483,7.8,"b","b82","29","2023-03","kps_psychoactive_substances_v2","Multiple matches found"
8870,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_21.664",14805,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Not the top hit","Invalid mass","Full match",0.47,304.24037,305.24769,21.664,3124923.49327536,6,91.1,77.2,"PreferredDDA","[M+H]+1","b88_a",2126169.64168722,7.8,"a","b88","1","2023-04","kps_psychoactive_substances_v2","Multiple matches found"
8870,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_21.664",14805,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Not the top hit","Invalid mass","Full match",0.47,304.24037,305.24769,21.664,3124923.49327536,6,91.1,77.2,"PreferredDDA","[M+H]+1","b88_b",955410.694447387,8,"b","b88","1","2023-04","kps_psychoactive_substances_v2","Multiple matches found"
8863,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_20.621",391,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Full match","Invalid mass","Full match",0.3,304.24032,305.2477,20.621,12052015.9288626,6,96.4,9.8,"PreferredDDA","[M+H]+1","b118_a",2213596.63433595,8.4,"a","b118","29","2023-06","kps_psychoactive_substances_v2","Multiple matches found"
8863,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_20.621",391,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Full match","Invalid mass","Full match",0.3,304.24032,305.2477,20.621,12052015.9288626,6,96.4,9.8,"PreferredDDA","[M+H]+1","b118_b",1531586.77308433,7.3,"b","b118","29","2023-06","kps_psychoactive_substances_v2","Multiple matches found"
8863,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_20.621",391,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Full match","Invalid mass","Full match",0.3,304.24032,305.2477,20.621,12052015.9288626,6,96.4,9.8,"PreferredDDA","[M+H]+1","b142_a",1653060.319694,5.7,"a","b142","29","2023-03","kps_psychoactive_substances_v2","Multiple matches found"
8863,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_20.621",391,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Full match","Invalid mass","Full match",0.3,304.24032,305.2477,20.621,12052015.9288626,6,96.4,9.8,"PreferredDDA","[M+H]+1","b142_b",1066690.24212951,7,"b","b142","29","2023-03","kps_psychoactive_substances_v2","Multiple matches found"
8891,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_18.044",17279,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Full match","Invalid mass","Full match",-0.09,332.23512,333.24239,18.044,5419440.76226029,3,86.9,71.3,"PreferredDDA","[M+H]+1","b58_a",5419440.76226029,7.3,"a","b58","29","2023-01","kps_psychoactive_substances_v2","Multiple matches found"
8891,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_18.044",17279,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Full match","Invalid mass","Full match",-0.09,332.23512,333.24239,18.044,5419440.76226029,3,86.9,71.3,"PreferredDDA","[M+H]+1","b58_b",4859732.7888376,8.9,"b","b58","29","2023-01","kps_psychoactive_substances_v2","Multiple matches found"
8082,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.045",35390,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.48,330.21965,331.22696,19.045,1953682.65120996,2,63.6,8.2,"PreferredDDA","[M+H]+1","b28_a",1068899.19707065,6.4,"a","b28","1","2022-11","kps_psychoactive_substances_v2","Single match found"
8082,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.045",35390,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.48,330.21965,331.22696,19.045,1953682.65120996,2,63.6,8.2,"PreferredDDA","[M+H]+1","b28_b",824802.173063283,7,"b","b28","1","2022-11","kps_psychoactive_substances_v2","Single match found"
8082,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.045",35390,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.48,330.21965,331.22696,19.045,1953682.65120996,2,63.6,8.2,"PreferredDDA","[M+H]+1","b4_a",1123620.96892512,7,"a","b4","1","2022-09","kps_psychoactive_substances_v2","Single match found"
8082,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.045",35390,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.48,330.21965,331.22696,19.045,1953682.65120996,2,63.6,8.2,"PreferredDDA","[M+H]+1","b4_b",1064026.08219362,6.4,"b","b4","1","2022-09","kps_psychoactive_substances_v2","Single match found"
17309,"3ß-Hydroxy-5a-pregnan-20-one_18.934",5711,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26328,18.934,26367344.8702081,1,81.1,75.9,"PreferredDDA","[M+H]+1","b130_a",26367344.8702081,6.2,"a","b130","29","2023-07","kps_psychoactive_substances_v2","Single match found"
17309,"3ß-Hydroxy-5a-pregnan-20-one_18.934",5711,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26328,18.934,26367344.8702081,1,81.1,75.9,"PreferredDDA","[M+H]+1","b130_b",21113743.8224879,7.3,"b","b130","29","2023-07","kps_psychoactive_substances_v2","Single match found"
17309,"3ß-Hydroxy-5a-pregnan-20-one_18.934",5711,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26328,18.934,26367344.8702081,1,81.1,75.9,"PreferredDDA","[M+H]+1","b82_a",13030117.3804463,5.1,"a","b82","29","2023-03","kps_psychoactive_substances_v2","Single match found"
17309,"3ß-Hydroxy-5a-pregnan-20-one_18.934",5711,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26328,18.934,26367344.8702081,1,81.1,75.9,"PreferredDDA","[M+H]+1","b82_b",10792800.9688874,5.1,"b","b82","29","2023-03","kps_psychoactive_substances_v2","Single match found"
17309,"3ß-Hydroxy-5a-pregnan-20-one_18.934",5711,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26328,18.934,26367344.8702081,1,81.1,75.9,"PreferredDDA","[M+H]+1","b94_a",19164402.5093325,5.1,"a","b94","29","2023-04","kps_psychoactive_substances_v2","Single match found"
17309,"3ß-Hydroxy-5a-pregnan-20-one_18.934",5711,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26328,18.934,26367344.8702081,1,81.1,75.9,"PreferredDDA","[M+H]+1","b94_b",13132514.346032,5.1,"b","b94","29","2023-04","kps_psychoactive_substances_v2","Single match found"
17325,"3ß-Hydroxy-5a-pregnan-20-one_20.651",42308,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Invalid mass","Partial match","Full match",0.35,318.25599,319.26327,20.651,1954203.13575876,2,87.4,54.4,"PreferredDDA","[M+H]+1","b82_a",1016111.6794787,7.5,"a","b82","29","2023-03","kps_psychoactive_substances_v2","Single match found"
17325,"3ß-Hydroxy-5a-pregnan-20-one_20.651",42308,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Invalid mass","Partial match","Full match",0.35,318.25599,319.26327,20.651,1954203.13575876,2,87.4,54.4,"PreferredDDA","[M+H]+1","b82_b",736104.152559172,5.3,"b","b82","29","2023-03","kps_psychoactive_substances_v2","Single match found"
8079,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.189",25007,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.14,330.21954,331.22681,19.189,2124690.13975718,8,89.3,81.9,"PreferredDDA","[M+H]+1","b112_a",2092919.53920666,7.3,"a","b112","1","2023-06","kps_psychoactive_substances_v2","Single match found"
8079,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.189",25007,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.14,330.21954,331.22681,19.189,2124690.13975718,8,89.3,81.9,"PreferredDDA","[M+H]+1","b112_b",1405217.30860601,5.3,"b","b112","1","2023-06","kps_psychoactive_substances_v2","Single match found"
8079,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.189",25007,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.14,330.21954,331.22681,19.189,2124690.13975718,8,89.3,81.9,"PreferredDDA","[M+H]+1","b82_a",1207079.70678661,8,"a","b82","29","2023-03","kps_psychoactive_substances_v2","Single match found"
8079,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.189",25007,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.14,330.21954,331.22681,19.189,2124690.13975718,8,89.3,81.9,"PreferredDDA","[M+H]+1","b82_b",849723.398442963,6.4,"b","b82","29","2023-03","kps_psychoactive_substances_v2","Single match found"
8079,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.189",25007,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.14,330.21954,331.22681,19.189,2124690.13975718,8,89.3,81.9,"PreferredDDA","[M+H]+1","b88_a",2061167.60898662,6.7,"a","b88","1","2023-04","kps_psychoactive_substances_v2","Single match found"
8079,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.189",25007,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.14,330.21954,331.22681,19.189,2124690.13975718,8,89.3,81.9,"PreferredDDA","[M+H]+1","b88_b",1766986.79629697,5.7,"b","b88","1","2023-04","kps_psychoactive_substances_v2","Single match found"
8079,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.189",25007,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.14,330.21954,331.22681,19.189,2124690.13975718,8,89.3,81.9,"PreferredDDA","[M+H]+1","b94_a",2124690.13975718,5.7,"a","b94","29","2023-04","kps_psychoactive_substances_v2","Single match found"
8079,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_19.189",25007,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Not the top hit","Partial match","Full match",0.14,330.21954,331.22681,19.189,2124690.13975718,8,89.3,81.9,"PreferredDDA","[M+H]+1","b94_b",1198381.06894291,7.5,"b","b94","29","2023-04","kps_psychoactive_substances_v2","Single match found"
17314,"3ß-Hydroxy-5a-pregnan-20-one_21.2",13782,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26332,21.2,4620205.08193784,1,67.4,67.2,"PreferredDDA","[M+H]+1","b100_a",2250736.66028193,6.2,"a","b100","1","2023-05","kps_psychoactive_substances_v2","Single match found"
17314,"3ß-Hydroxy-5a-pregnan-20-one_21.2",13782,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26332,21.2,4620205.08193784,1,67.4,67.2,"PreferredDDA","[M+H]+1","b100_b",2719081.01403422,5.1,"b","b100","1","2023-05","kps_psychoactive_substances_v2","Single match found"
17314,"3ß-Hydroxy-5a-pregnan-20-one_21.2",13782,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26332,21.2,4620205.08193784,1,67.4,67.2,"PreferredDDA","[M+H]+1","b112_a",3996551.68303606,5.1,"a","b112","1","2023-06","kps_psychoactive_substances_v2","Single match found"
17314,"3ß-Hydroxy-5a-pregnan-20-one_21.2",13782,"3ß-Hydroxy-5a-pregnan-20-one","C21 H34 O2","Not the top hit","Partial match","Full match",0.47,318.25603,319.26332,21.2,4620205.08193784,1,67.4,67.2,"PreferredDDA","[M+H]+1","b112_b",4620205.08193784,5.7,"b","b112","1","2023-06","kps_psychoactive_substances_v2","Single match found"
